run_id,calls,units,segments,w_avg_p50_resp_min,w_avg_p90_resp_min,w_avg_avg_resp_min
20251130T034004Z,63185.0,30.0,2713.0,4.775519716420264,10.425341560871644,5.816267509477362
20251130T034106Z,63185.0,30.0,2713.0,4.775519716420264,10.425341560871644,5.816271016571502
20251130T034208Z,63185.0,30.0,2713.0,4.775519716420264,10.425341560871644,5.816267509477362
20251130T034311Z,63185.0,30.0,2713.0,4.775519716420264,10.425341560871644,5.816271016571502
20251130T034413Z,63185.0,30.0,2713.0,4.775519716420264,10.425341560871644,5.816267509477362
20251130T034516Z,63185.0,30.0,2713.0,4.775519716420264,10.425341560871644,5.816271016571502
20251130T034619Z,63185.0,30.0,2713.0,4.775519716420264,10.425341560871644,5.816267509477362
20251130T034722Z,63185.0,30.0,2713.0,4.775519716420264,10.425341560871644,5.816271016571502
20251130T034826Z,63185.0,30.0,2713.0,4.775519716420264,10.425341560871644,5.816267509477362
20251130T035020Z,63185.0,30.0,2713.0,4.731620660577379,10.079235635883771,5.700554091555863
20251130T042653Z,63185.0,30.0,2713.0,3.9490165326983937,6.2566546529232,4.054680260672364
20251130T043029Z,63185.0,30.0,2713.0,3.9509080564518286,9.770756742175829,5.313442315923932
20251130T043228Z,63185.0,30.0,2713.0,3.890409846551088,9.472661720168883,5.231686863853319
20251130T044423Z,63185.0,30.0,2713.0,3.367132074999869,4.243030474502434,3.1924482655927107
20251130T044450Z,63185.0,30.0,2713.0,3.8164664341196777,4.744893314102404,3.382645666605438
20251130T044538Z,63185.0,30.0,2713.0,2.911378108323229,5.699299101256499,3.484807849689717
20251130T050318Z,63185.0,30.0,2713.0,2.911378108323229,5.699299101256499,3.484807849689717
20251130T060045Z,500.0,30.0,34.0,3.7529453429724873,4.678179149045093,3.388581054712098
20251130T060210Z,63185.0,30.0,2713.0,3.933994671282803,9.850152859128372,5.337182181429654
20251130T060213Z,63185.0,30.0,2713.0,3.9239224858223474,9.615331058904388,5.260700028353126
20251130T060217Z,63185.0,30.0,2713.0,4.064188571229288,10.168359507573546,5.5260291319170936
20251130T060221Z,63185.0,30.0,2713.0,4.026099834922356,9.584600984094855,5.328231747058002
20251130T060224Z,63185.0,30.0,2713.0,3.9239224858223474,9.615331058904388,5.260700028353126
20251130T060227Z,63185.0,30.0,2713.0,3.9239224858223474,9.615331058904388,5.260700028353126
20251130T060231Z,63185.0,30.0,2713.0,3.947190097222531,10.176391543888982,5.379426296732244
20251130T060234Z,63185.0,30.0,2713.0,3.9239224858223474,9.615331058904388,5.260700028353126
20251130T060237Z,63185.0,30.0,2713.0,3.9239224858223474,9.615331058904388,5.260700028353126
20251130T060240Z,63185.0,30.0,2713.0,3.933994671282803,9.850152859128372,5.337182181429654
20251130T060244Z,63185.0,30.0,2713.0,4.099550170826468,10.52617740652372,5.651026037722797
20251130T060248Z,63185.0,30.0,2713.0,4.133474136524341,9.916229843405237,5.4134793117099855
20251130T060251Z,63185.0,30.0,2713.0,3.933994671282803,9.850152859128372,5.337182181429654
20251130T060254Z,63185.0,30.0,2713.0,3.933994671282803,9.850152859128372,5.337182181429654
20251130T060258Z,63185.0,30.0,2713.0,4.030521751933891,10.312668325752345,5.485651702031648
20251130T060301Z,63185.0,30.0,2713.0,3.933994671282803,9.850152859128372,5.337182181429654
20251130T060304Z,63185.0,30.0,2713.0,3.933994671282803,9.850152859128372,5.337182181429654
